Country,TotalCases,NewCases,TotalDeaths,NewDeaths
USA,"106,791,968",,"1,162,699                                ",
India,"44,979,402",,"531,767                                ",
France,"40,042,410",,"166,970                                ",
Germany,"38,417,622",,"173,797                                ",
Brazil,"37,511,921",,"702,116                                ",
Japan,"33,803,572",,"74,694                                ",
S. Korea,"31,390,699",,"34,597                                ",
Italy,"25,828,252",,"190,080                                ",
UK,"24,569,895",,"223,396                                ",
Russia,"22,895,380",,"398,685                                ",
Turkey,"17,232,066",,"102,174                                ",
Spain,"13,845,825",,"120,964                                ",
Vietnam,"11,589,567",,"43,201                                ",
Australia,"11,505,229",,"20,557                                ",
Taiwan,"10,239,998",,"19,005                                ",
Argentina,"10,044,957",,"130,472                                ",
Netherlands,"8,610,372",,"22,992                                ",
Iran,"7,609,922",,"146,165                                ",
Mexico,"7,600,278",,"333,985                                ",
Indonesia,"6,796,466",,"161,599                                ",
Poland,"6,515,557",,"119,585                                ",
Colombia,"6,365,994",,"142,727                                ",
Austria,"6,071,852",,"22,478                                ",
Greece,"6,025,776",,"36,811                                ",
Portugal,"5,582,987",,"26,616                                ",
Ukraine,"5,538,357",,"112,210                                ",
Chile,"5,286,098",,"64,497                                ",
Malaysia,"5,079,436",,"37,028                                ",
Israel,"4,823,329",,"12,500                                ",
Belgium,"4,797,108",,"34,298                                ",
DPRK,"4,772,813",,74                                ,
Thailand,"4,734,000",,"33,967                                ",
Czechia,"4,641,311",,"42,787                                ",
Canada,"4,641,301",,"52,247                                ",
Peru,"4,503,222",,"220,196                                ",
Switzerland,"4,404,327",,"14,452                                ",
Philippines,"4,113,093",,"66,453                                ",
South Africa,"4,076,463",,"102,595                                ",
Romania,"3,397,365",,"68,117                                ",
Denmark,"3,181,299",,"8,632                                ",
Hong Kong,"2,896,978",,"13,647                                ",
Sweden,"2,708,137",,"24,183                                ",
Serbia,"2,538,544",,"18,036                                ",
Iraq,"2,465,545",,"25,375                                ",
Singapore,"2,391,248",,"1,727                                ",
New Zealand,"2,336,352",,"4,202                                ",
Hungary,"2,202,179",,"48,859                                ",
Bangladesh,"2,038,384",,"29,446                                ",
Slovakia,"1,866,647",,"21,167                                ",
Georgia,"1,840,187",,"17,059                                ",
Jordan,"1,746,997",,"14,122                                ",
Ireland,"1,711,233",,"8,905                                ",
Pakistan,"1,580,900",,"30,660                                ",
Norway,"1,483,639",,"5,435                                ",
Finland,"1,477,021",,"9,492                                ",
Kazakhstan,"1,411,831",,"13,848                                ",
Slovenia,"1,343,598",,"7,100                                ",
Lithuania,"1,319,459",,"9,674                                ",
Bulgaria,"1,305,922",,"38,353                                ",
Morocco,"1,273,832",,"16,297                                ",
Croatia,"1,273,256",,"18,213                                ",
Guatemala,"1,250,268",,"20,199                                ",
Lebanon,"1,237,127",,"10,906                                ",
Costa Rica,"1,229,587",,"9,362                                ",
Bolivia,"1,197,920",,"22,382                                ",
Tunisia,"1,153,063",,"29,407                                ",
Cuba,"1,113,617",,"8,530                                ",
UAE,"1,065,607",,"2,349                                ",
Ecuador,"1,061,100",,"36,019                                ",
Panama,"1,037,978",,"8,622                                ",
Uruguay,"1,037,893",,"7,625                                ",
Mongolia,"1,008,038",,"2,179                                ",
Nepal,"1,003,216",,"12,031                                ",
Belarus,"994,037",,"7,118                                ",
Latvia,"977,796",,"6,333                                ",
Saudi Arabia,"841,469",,"9,646                                ",
Azerbaijan,"831,648",,"10,268                                ",
Paraguay,"810,170",,"19,921                                ",
Bahrain,"721,009",,"1,562                                ",
Sri Lanka,"672,275",,"16,853                                ",
Kuwait,"665,851",,"2,570                                ",
Dominican Republic,"661,103",,"4,384                                ",
Cyprus,"660,854",,"1,364                                ",
Myanmar,"637,103",,"19,494                                ",
Palestine,"621,008",,"5,404                                ",
Moldova,"620,419",,"12,113                                ",
Estonia,"618,218",,"3,001                                ",
Venezuela,"552,695",,"5,856                                ",
Egypt,"516,023",,"24,613                                ",
Qatar,"510,596",,690                                ,
Libya,"507,253",,"6,437                                ",
Ethiopia,"500,868",,"7,574                                ",
Réunion,"486,588",,921                                ,
Honduras,"472,594",,"11,114                                ",
Armenia,"449,062",,"8,747                                ",
Bosnia and Herzegovina,"402,890",,"16,339                                ",
Oman,"399,449",,"4,628                                ",
North Macedonia,"348,215",,"9,676                                ",
Zambia,"343,995",,"4,058                                ",
Kenya,"343,073",,"5,688                                ",
Albania,"334,726",,"3,602                                ",
Botswana,"329,856",,"2,801                                ",
Luxembourg,"319,959",,"1,232                                ",
Brunei ,"292,644",,225                                ,
Montenegro,"291,798",,"2,827                                ",
Algeria,"271,813",,"6,881                                ",
Nigeria,"266,675",,"3,155                                ",
Zimbabwe,"264,776",,"5,689                                ",
Uzbekistan,"253,287",,"1,637                                ",
Mozambique,"233,417",,"2,243                                ",
Martinique,"229,900",,"1,100                                ",
Afghanistan,"218,642",,"7,907                                ",
Laos,"218,098",,758                                ,
Iceland,"209,191",,229                                ,
Kyrgyzstan,"206,888",,"2,991                                ",
Guadeloupe,"202,653",,"1,017                                ",
El Salvador,"201,785",,"4,230                                ",
Trinidad and Tobago,"191,496",,"4,390                                ",
Maldives,"186,526",,314                                ,
Ghana,"171,657",,"1,462                                ",
Namibia,"171,222",,"4,090                                ",
Uganda,"170,671",,"3,632                                ",
Jamaica,"154,874",,"3,536                                ",
Cambodia,"138,736",,"3,056                                ",
Rwanda,"133,194",,"1,468                                ",
Cameroon,"124,983",,"1,971                                ",
Malta,"118,574",,835                                ,
Barbados,"107,566",,589                                ,
Angola,"105,384",,"1,934                                ",
Channel Islands,"101,717",,228                                ,
French Guiana,"98,041",,420                                ,
DRC,"96,403",,"1,465                                ",
Senegal,"88,997",,"1,971                                ",
Malawi,"88,728",,"2,686                                ",
Ivory Coast,"88,329",,834                                ,
Suriname,"82,495",,"1,404                                ",
New Caledonia,"79,922",,314                                ,
French Polynesia,"78,518",,649                                ,
Eswatini,"74,670",,"1,425                                ",
Guyana,"73,198",,"1,298                                ",
Belize,"70,782",,688                                ,
Fiji,"68,921",,883                                ,
Madagascar,"68,253",,"1,424                                ",
Sudan,"63,993",,"5,046                                ",
Cabo Verde,"63,737",,414                                ,
Mauritania,"63,715",,997                                ,
Bhutan,"62,668",,21                                ,
Syria,"57,577",,"3,164                                ",
Burundi,"53,740",,38                                ,
Seychelles,"50,937",,172                                ,
Gabon,"48,981",,306                                ,
Andorra,"48,015",,165                                ,
Papua New Guinea,"46,849",,670                                ,
Curaçao,"45,986",,295                                ,
Aruba,"44,180",,236                                ,
Tanzania,"43,078",,846                                ,
Mauritius,"42,358",,"1,049                                ",
Mayotte,"42,027",,188                                ,
Togo,"39,491",,290                                ,
Guinea,"38,462",,467                                ,
Bahamas,"38,084",,844                                ,
Isle of Man,"38,008",,116                                ,
Lesotho,"34,790",,723                                ,
Faeroe Islands,"34,658",,28                                ,
Haiti,"34,228",,860                                ,
Mali,"33,145",,743                                ,
Cayman Islands,"31,472",,37                                ,
Saint Lucia,"30,052",,409                                ,
Benin,"28,014",,163                                ,
Somalia,"27,334",,"1,361                                ",
Micronesia,"26,453",,65                                ,
Congo,"25,375",,386                                ,
Solomon Islands,"24,575",,153                                ,
San Marino,"24,210",,125                                ,
Timor-Leste,"23,433",,138                                ,
Burkina Faso,"22,056",,396                                ,
Liechtenstein,"21,437",,91                                ,
Gibraltar,"20,550",,113                                ,
Grenada,"19,693",,238                                ,
Bermuda,"18,860",,165                                ,
Nicaragua,"18,491",,225                                ,
South Sudan,"18,368",,138                                ,
Tajikistan,"17,786",,125                                ,
Equatorial Guinea,"17,229",,183                                ,
Tonga,"16,816",,13                                ,
Samoa,"16,763",,31                                ,
Monaco,"16,760",,67                                ,
Marshall Islands,"16,081",,17                                ,
Dominica,"15,760",,74                                ,
Djibouti,"15,690",,189                                ,
CAR,"15,368",,113                                ,
Gambia,"12,626",,372                                ,
Saint Martin,"12,300",,63                                ,
Vanuatu,"12,016",,14                                ,
Greenland,"11,971",,21                                ,
Yemen,"11,945",,"2,159                                ",
Caribbean Netherlands,"11,682",,38                                ,
Sint Maarten,"11,030",,92                                ,
Eritrea,"10,189",,103                                ,
Niger,"9,931",,312                                ,
St. Vincent Grenadines,"9,619",,124                                ,
Guinea-Bissau,"9,614",,177                                ,
Comoros,"9,109",,161                                ,
Antigua and Barbuda,"9,106",,146                                ,
Liberia,"8,090",,295                                ,
Sierra Leone,"7,762",,126                                ,
Chad,"7,698",,194                                ,
British Virgin Islands,"7,305",,64                                ,
Cook Islands,"7,067",,2                                ,
Saint Kitts and Nevis,"6,600",,48                                ,
Turks and Caicos,"6,588",,38                                ,
Sao Tome and Principe,"6,575",,80                                ,
Palau,"6,000",,9                                ,
St. Barth,"5,486",,6                                ,
Nauru,"5,393",,1                                ,
Kiribati,"5,025",,24                                ,
Anguilla,"3,904",,12                                ,
Macao,"3,562",,121                                ,
Saint Pierre Miquelon,"3,452",,2                                ,
Wallis and Futuna,"3,427",,7                                ,
Tuvalu,"2,805",, ,
Saint Helena,"2,166",, ,
Falkland Islands,"1,930",, ,
Montserrat,"1,403",,8                                ,
Niue,802,, ,
Diamond Princess,712,,13                                ,
Vatican City,29,, ,
Western Sahara,10,,1                                ,
MS Zaandam,9,,2                                ,
Tokelau,5,, ,
China,"503,302",,"5,272                                ",
